# Optimal value by DCA: 16.081526
data;

param N = 10;
param capacity := 
1 114
2 46
3 98
4 84
5 51
6 79
7 40
8 112
9 72
10 80
;
param nested_lowerbound := 
1 11
2 39
3 108
4 117
5 151
6 192
7 210
8 304
9 350
10 415
;
param nested_upperbound := 
1 74
2 94
3 114
4 198
5 209
6 259
7 281
8 323
9 350
10 415
;
param cost_a := 
1 0.492429
2 0.834167
3 0.323244
4 0.178561
5 0.668168
6 0.844313
7 0.073098
8 0.399793
9 0.647264
10 0.726124
;
param cost_b := 
1 0.882853
2 0.531763
3 0.965370
4 0.136703
5 -0.170350
6 -0.789927
7 -0.264534
8 0.161653
9 0.536609
10 -0.393628
;
